sort_variable,mean_coefficient,expected_signed_hac_t_stat,share_expected_signed_hac_5pct,classification
ME,-6.088841050632371,2.2049926469615944,0.5,Strong
age,-3.1654288383406093,1.2788819088557934,0.25,Partial
risk,-10.2067486871911,3.948580059355682,1.0,Strong
IVOL_FF3,-9.499580535840868,3.3667339269597054,1.0,Strong
E_plus_BE,0.1189945143306439,0.0252532060668019,0.0,Weak
UNPROFITABLE,-2.2522745028954634,1.8008120452875458,0.25,Partial
NON_D_PAYER,-2.762182139359296,2.594496003006196,1.0,Strong with dividend-premium caveat
PPE_A,-7.334846569590246,3.971405450950332,1.0,Strong but stronger than BW2006
GS,-1.5750414022352484,0.7826848048270989,0.0,Weak
ILLIQ,-1.0572348747499694,0.514944153610228,0.0,Weak
XTURN,1.82335950049606,-0.5875203948767944,0.0,Conflicting
