sort_variable,correlated_sort_variable,correlation
ME,ME,1.0
age,ME,0.10982675095263514
risk,ME,0.5148767236904256
IVOL_FF3,ME,0.6219779318959874
E_plus_BE,ME,0.1746213458582349
UNPROFITABLE,ME,0.3868644678733961
NON_D_PAYER,ME,0.7023925437570664
PPE_A,ME,0.2600949107491318
GS,ME,-0.039599063135458946
ILLIQ,ME,0.8128681997936755
XTURN,ME,-0.2769042711365946
ME,age,0.10982675095263514
age,age,1.0
risk,age,-0.05064182233509185
IVOL_FF3,age,-0.03901424418461863
E_plus_BE,age,0.01637951121454834
UNPROFITABLE,age,0.17545734722944242
NON_D_PAYER,age,0.16028417766313102
PPE_A,age,0.024127957096943303
GS,age,0.0880493770891801
ILLIQ,age,0.13776675646926814
XTURN,age,0.21245463034902748
ME,risk,0.5148767236904256
age,risk,-0.05064182233509185
risk,risk,1.0
IVOL_FF3,risk,0.8110519616174425
E_plus_BE,risk,-0.00905419009382857
UNPROFITABLE,risk,0.1465645373875884
NON_D_PAYER,risk,0.6077745156374658
PPE_A,risk,0.2652840343677982
GS,risk,0.047983930585950976
ILLIQ,risk,0.4465449205960119
XTURN,risk,-0.55929853124369
ME,IVOL_FF3,0.6219779318959874
age,IVOL_FF3,-0.03901424418461863
risk,IVOL_FF3,0.8110519616174425
IVOL_FF3,IVOL_FF3,1.0
E_plus_BE,IVOL_FF3,0.023194262217852864
UNPROFITABLE,IVOL_FF3,0.2035890462850153
NON_D_PAYER,IVOL_FF3,0.654432526692725
PPE_A,IVOL_FF3,0.19554563025402402
GS,IVOL_FF3,0.031797428404440324
ILLIQ,IVOL_FF3,0.5868169068650135
XTURN,IVOL_FF3,-0.5373105481648656
ME,E_plus_BE,0.1746213458582349
age,E_plus_BE,0.01637951121454834
risk,E_plus_BE,-0.00905419009382857
IVOL_FF3,E_plus_BE,0.023194262217852864
E_plus_BE,E_plus_BE,1.0
UNPROFITABLE,E_plus_BE,0.8052403715880154
NON_D_PAYER,E_plus_BE,0.18015017831153465
PPE_A,E_plus_BE,0.083027155627708
GS,E_plus_BE,-0.11560568764719646
ILLIQ,E_plus_BE,0.10538715181816227
XTURN,E_plus_BE,-0.03022452547296097
ME,UNPROFITABLE,0.3868644678733961
age,UNPROFITABLE,0.17545734722944242
risk,UNPROFITABLE,0.1465645373875884
IVOL_FF3,UNPROFITABLE,0.2035890462850153
E_plus_BE,UNPROFITABLE,0.8052403715880154
UNPROFITABLE,UNPROFITABLE,1.0
NON_D_PAYER,UNPROFITABLE,0.3995527037531936
PPE_A,UNPROFITABLE,0.13454926136853146
GS,UNPROFITABLE,-0.13068752694454067
ILLIQ,UNPROFITABLE,0.31773884220079307
XTURN,UNPROFITABLE,-0.12792056055422568
ME,NON_D_PAYER,0.7023925437570664
age,NON_D_PAYER,0.16028417766313102
risk,NON_D_PAYER,0.6077745156374658
IVOL_FF3,NON_D_PAYER,0.654432526692725
E_plus_BE,NON_D_PAYER,0.18015017831153465
UNPROFITABLE,NON_D_PAYER,0.3995527037531936
NON_D_PAYER,NON_D_PAYER,1.0
PPE_A,NON_D_PAYER,0.22051348829049428
GS,NON_D_PAYER,-0.05509545314901726
ILLIQ,NON_D_PAYER,0.6583922177161363
XTURN,NON_D_PAYER,-0.46770873739900415
ME,PPE_A,0.2600949107491318
age,PPE_A,0.024127957096943303
risk,PPE_A,0.2652840343677982
IVOL_FF3,PPE_A,0.19554563025402402
E_plus_BE,PPE_A,0.083027155627708
UNPROFITABLE,PPE_A,0.13454926136853146
NON_D_PAYER,PPE_A,0.22051348829049428
PPE_A,PPE_A,1.0
GS,PPE_A,-0.09392605835090528
ILLIQ,PPE_A,0.19139615779354324
XTURN,PPE_A,-0.22389891520232028
ME,GS,-0.039599063135458946
age,GS,0.0880493770891801
risk,GS,0.047983930585950976
IVOL_FF3,GS,0.031797428404440324
E_plus_BE,GS,-0.11560568764719646
UNPROFITABLE,GS,-0.13068752694454067
NON_D_PAYER,GS,-0.05509545314901726
PPE_A,GS,-0.09392605835090528
GS,GS,1.0
ILLIQ,GS,-0.06461649302636968
XTURN,GS,0.0709880677049423
ME,ILLIQ,0.8128681997936755
age,ILLIQ,0.13776675646926814
risk,ILLIQ,0.4465449205960119
IVOL_FF3,ILLIQ,0.5868169068650135
E_plus_BE,ILLIQ,0.10538715181816227
UNPROFITABLE,ILLIQ,0.31773884220079307
NON_D_PAYER,ILLIQ,0.6583922177161363
PPE_A,ILLIQ,0.19139615779354324
GS,ILLIQ,-0.06461649302636968
ILLIQ,ILLIQ,1.0
XTURN,ILLIQ,-0.07310549562025417
ME,XTURN,-0.2769042711365946
age,XTURN,0.21245463034902748
risk,XTURN,-0.55929853124369
IVOL_FF3,XTURN,-0.5373105481648656
E_plus_BE,XTURN,-0.03022452547296097
UNPROFITABLE,XTURN,-0.12792056055422568
NON_D_PAYER,XTURN,-0.46770873739900415
PPE_A,XTURN,-0.22389891520232028
GS,XTURN,0.0709880677049423
ILLIQ,XTURN,-0.07310549562025417
XTURN,XTURN,1.0
