return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,offset_count,estimated_model_count,median_coef,median_hac_t,median_expected_signed_t,median_bootstrap_t,median_expected_signed_bootstrap_t,theory_consistent_sign_share,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,min_n_obs,median_n_obs,median_r2
1,E_plus_BE,low_minus_high,low_profitability,1,1,-0.4370657088165858,-0.6361964255385215,0.6361964255385215,-0.6163812533223888,0.6163812533223888,1.0,0.0,0.0,256,256.0,0.0707811021510335
1,GS,high_minus_low,high_sales_growth,1,1,-0.7974228400469376,-1.3264732231883396,1.3264732231883396,-1.284741793096831,1.284741793096831,1.0,0.0,0.0,240,240.0,0.01684796168214575
1,ILLIQ,high_minus_low,high_amihud_illiquidity,1,1,-0.30365015938962325,-0.6651726596065602,0.6651726596065602,-0.6615227355713091,0.6615227355713091,1.0,0.0,0.0,288,288.0,0.4533090289908499
1,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,1,1,-2.242455345153076,-2.6943478567645247,2.6943478567645247,-2.69177190433729,2.69177190433729,1.0,1.0,1.0,288,288.0,0.44878768074047704
1,ME,low_minus_high,small_firms,1,1,-1.3357952762298873,-1.9013452358800274,1.9013452358800274,-1.9187166872056478,1.9187166872056478,1.0,0.0,0.0,288,288.0,0.43133791080455997
1,NON_D_PAYER,prone_minus_safe,non_dividend_payers,1,1,-0.6287734580445482,-2.238945186897832,2.238945186897832,-2.2622138870558235,2.2622138870558235,1.0,1.0,1.0,288,288.0,0.5879108164954372
1,PPE_A,low_minus_high,low_tangibility,1,1,-1.2736622546159102,-2.98662668461162,2.98662668461162,-2.940353663190406,2.940353663190406,1.0,1.0,1.0,288,288.0,0.06750119995557369
1,UNPROFITABLE,prone_minus_safe,non_positive_earnings,1,1,-0.542620573522645,-0.9553500357352367,0.9553500357352367,-0.978807040245292,0.978807040245292,1.0,0.0,0.0,256,256.0,0.2643182541566641
1,XTURN,low_minus_high,low_share_turnover,1,1,-0.10600079502237292,-0.16086988582850084,0.16086988582850084,-0.16294666343121142,0.16294666343121142,1.0,0.0,0.0,288,288.0,0.211325016732961
1,age,low_minus_high,young_firms,1,1,-0.3783411043790907,-0.8045698009288416,0.8045698009288416,-0.831093250424091,0.831093250424091,1.0,0.0,0.0,288,288.0,0.12745814120584276
1,risk,high_minus_low,high_total_volatility,1,1,-2.600736131326331,-3.503741957136944,3.503741957136944,-3.506895497624256,3.506895497624256,1.0,1.0,1.0,288,288.0,0.5090116282794115
3,E_plus_BE,low_minus_high,low_profitability,3,3,0.575422937293683,0.27843384591641074,-0.27843384591641074,0.3210082872125011,-0.3210082872125011,0.3333333333333333,0.0,0.0,83,84.0,0.09657680973736726
3,GS,high_minus_low,high_sales_growth,3,3,0.015967217072381756,0.012266032629367709,-0.012266032629367709,0.01117684385773679,-0.01117684385773679,0.3333333333333333,0.3333333333333333,0.0,79,79.0,0.07930295246401453
3,ILLIQ,high_minus_low,high_amihud_illiquidity,3,3,-0.07158924908070566,-0.05349309676220451,0.05349309676220451,-0.05219460812054941,0.05219460812054941,0.6666666666666666,0.0,0.0,95,95.0,0.5256124844436361
3,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,3,3,-6.704416374832138,-2.812821722312594,2.812821722312594,-2.6590893663050883,2.6590893663050883,1.0,0.6666666666666666,0.6666666666666666,95,95.0,0.4670809127570815
3,ME,low_minus_high,small_firms,3,3,-2.7310588639910818,-1.4293723486348406,1.4293723486348406,-1.2834062777457764,1.2834062777457764,1.0,0.0,0.0,95,95.0,0.4708171463230342
3,NON_D_PAYER,prone_minus_safe,non_dividend_payers,3,3,-2.2416405592643014,-2.530691907698119,2.530691907698119,-2.6229185736489264,2.6229185736489264,1.0,0.6666666666666666,0.6666666666666666,95,95.0,0.6218671590812425
3,PPE_A,low_minus_high,low_tangibility,3,3,-4.416357536375231,-3.2359847453006347,3.2359847453006347,-3.005155499704965,3.005155499704965,1.0,1.0,1.0,95,95.0,0.14439852133368614
3,UNPROFITABLE,prone_minus_safe,non_positive_earnings,3,3,-1.765591801082895,-1.9656565604552652,1.9656565604552652,-1.9662191695360098,1.9662191695360098,0.6666666666666666,0.6666666666666666,0.6666666666666666,83,84.0,0.4973096961865767
3,XTURN,low_minus_high,low_share_turnover,3,3,0.7570162941332905,0.3667542014832685,-0.3667542014832685,0.37744670589878393,-0.37744670589878393,0.3333333333333333,0.0,0.0,95,95.0,0.2074620082815064
3,age,low_minus_high,young_firms,3,3,-0.750074976527814,-0.45669108657835983,0.45669108657835983,-0.4089429185040731,0.4089429185040731,1.0,0.0,0.0,95,95.0,0.22818986225803095
3,risk,high_minus_low,high_total_volatility,3,3,-6.776431462581879,-2.946511641674968,2.946511641674968,-2.807558805922044,2.807558805922044,1.0,1.0,0.6666666666666666,95,95.0,0.5735992630564162
6,E_plus_BE,low_minus_high,low_profitability,6,6,0.5046681763835206,0.05816673377259836,-0.05816673377259836,0.08748170530803773,-0.08748170530803773,0.5,0.0,0.0,41,41.0,0.15217561815015784
6,GS,high_minus_low,high_sales_growth,6,6,-1.9229154351682864,-0.44743441452834787,0.44743441452834787,-0.38988668022665096,0.38988668022665096,0.8333333333333334,0.0,0.0,39,39.0,0.13128012647090803
6,ILLIQ,high_minus_low,high_amihud_illiquidity,6,6,-1.6871308466900174,-0.5272822528673865,0.5272822528673865,-0.48468294622315744,0.48468294622315744,0.8333333333333334,0.0,0.0,47,47.0,0.6498507039410512
6,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,6,6,-13.790022095483916,-3.165316290013795,3.165316290013795,-2.9485972143690677,2.9485972143690677,1.0,0.8333333333333334,0.8333333333333334,47,47.0,0.5709944583268456
6,ME,low_minus_high,small_firms,6,6,-7.179190929298146,-1.485891227141722,1.485891227141722,-1.3214711540232642,1.3214711540232642,1.0,0.3333333333333333,0.0,47,47.0,0.5246009384294216
6,NON_D_PAYER,prone_minus_safe,non_dividend_payers,6,6,-3.765575396850286,-2.148721369324762,2.148721369324762,-1.9668053449542273,1.9668053449542273,1.0,0.8333333333333334,0.5,47,47.0,0.6539937679754513
6,PPE_A,low_minus_high,low_tangibility,6,6,-8.560778085499914,-3.0133565513899803,3.0133565513899803,-2.702957651465087,2.702957651465087,1.0,0.8333333333333334,0.8333333333333334,47,47.0,0.24267319452419023
6,UNPROFITABLE,prone_minus_safe,non_positive_earnings,6,6,-2.6364790220461183,-1.3295837173931666,1.3295837173931666,-1.2429865000513511,1.2429865000513511,1.0,0.16666666666666666,0.16666666666666666,41,41.0,0.6070434711621875
6,XTURN,low_minus_high,low_share_turnover,6,6,2.0681335430808394,0.5027554028230534,-0.5027554028230534,0.42499516890453815,-0.42499516890453815,0.0,0.0,0.0,47,47.0,0.21598634499453095
6,age,low_minus_high,young_firms,6,6,-3.287241695302496,-0.9834162550582929,0.9834162550582929,-0.7484351748776348,0.7484351748776348,1.0,0.3333333333333333,0.0,47,47.0,0.3253476769321881
6,risk,high_minus_low,high_total_volatility,6,6,-13.517747697742855,-3.1220565181831432,3.1220565181831432,-2.9957798058253804,2.9957798058253804,1.0,1.0,1.0,47,47.0,0.6349198477270961
12,E_plus_BE,low_minus_high,low_profitability,12,12,-2.0630420668244804,-0.950387616681915,0.950387616681915,-0.5261243536333655,0.5261243536333655,0.5833333333333334,0.16666666666666666,0.16666666666666666,20,20.0,0.2819887732065551
12,GS,high_minus_low,high_sales_growth,12,12,-3.417321570337225,-0.4375163791099407,0.4375163791099407,-0.4861264589722569,0.4861264589722569,0.6666666666666666,0.08333333333333333,0.08333333333333333,19,19.0,0.21985132015893666
12,ILLIQ,high_minus_low,high_amihud_illiquidity,12,12,-3.6405657945274195,-0.7963706390962377,0.7963706390962377,-0.6236942953754383,0.6236942953754383,0.9166666666666666,0.16666666666666666,0.0,23,23.0,0.7502191084390748
12,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,12,12,-23.719266447871213,-5.592136909585008,5.592136909585008,-3.549079699276087,3.549079699276087,1.0,0.9166666666666666,0.9166666666666666,23,23.0,0.7293004545709243
12,ME,low_minus_high,small_firms,12,12,-15.530532984350813,-3.3330574803244826,3.3330574803244826,-2.0466230206270923,2.0466230206270923,1.0,0.8333333333333334,0.5833333333333334,23,23.0,0.6559825152525787
12,NON_D_PAYER,prone_minus_safe,non_dividend_payers,12,12,-5.268582254258421,-2.309386546120642,2.309386546120642,-1.2957564552955394,1.2957564552955394,1.0,0.5833333333333334,0.25,23,23.0,0.6670584971650859
12,PPE_A,low_minus_high,low_tangibility,12,12,-17.336762195154872,-4.307389460787549,4.307389460787549,-2.9756290785709547,2.9756290785709547,1.0,0.9166666666666666,0.8333333333333334,23,23.0,0.42749798051830473
12,UNPROFITABLE,prone_minus_safe,non_positive_earnings,12,12,-6.988248172644128,-3.1522303463988752,3.1522303463988752,-2.401863330476039,2.401863330476039,1.0,0.75,0.5833333333333334,20,20.0,0.7376994254309115
12,XTURN,low_minus_high,low_share_turnover,12,12,4.994004022267841,1.5080389987499212,-1.5080389987499212,0.9481031751859548,-0.9481031751859548,0.25,0.0,0.0,23,23.0,0.2706005273266082
12,age,low_minus_high,young_firms,12,12,-10.020994559433285,-2.5177680565031677,2.5177680565031677,-1.4998752584646762,1.4998752584646762,1.0,0.75,0.16666666666666666,23,23.0,0.49100582472833115
12,risk,high_minus_low,high_total_volatility,12,12,-23.405851583215732,-5.251450914571759,5.251450914571759,-3.532458491263613,3.532458491263613,1.0,0.9166666666666666,0.9166666666666666,23,23.0,0.6951852848834671
