sort_variable,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM,orth_minus_raw_mean_expected_signed_t
E_plus_BE,-0.8439672665282348,0.02525320606680191,-0.8849083373933746,0.8692204725950368
GS,1.7224865430397593,0.7826848048270989,1.0743084097048168,-0.9398017382126604
ILLIQ,-0.21111763819018767,0.514944153610228,-0.47537229220112404,0.7260617918004157
IVOL_FF3,1.0340741449939845,3.3667339269597054,0.4307417249980072,2.332659781965721
ME,1.1331127381158015,2.2049926469615944,0.9536482865048646,1.0718799088457929
NON_D_PAYER,-0.010977852581797884,2.594496003006196,0.1093405167047132,2.605473855587994
PPE_A,2.961086610030277,3.971405450950332,2.8989085580536345,1.0103188409200552
UNPROFITABLE,0.04458027829554581,1.8008120452875458,0.08992149527728022,1.756231766992
XTURN,1.929142121378408,-0.5875203948767944,1.1432275684505564,-2.5166625162552023
age,1.486712644358367,1.2788819088557934,0.3888059821407696,-0.20783073550257347
risk,1.186606877848746,3.948580059355682,1.1698844454936204,2.761973181506936
