variable,count,mean,std,min,p05,median,p95,max,missing_share
SENT_ORTH_DIV_PREMIUM,289,-0.013772551595457394,0.557982996604129,-1.3326989856510845,-0.8395622885771638,-0.042867083820447405,0.853664374019438,2.361472164997967,0.033444816053511704
SENT_ORTH_DIV_PREMIUM_lag,288,-0.014821603216902901,0.5586686808845758,-1.3326989856510845,-0.8397755329838561,-0.04429164036854433,0.8548709639697173,2.361472164997967,0.03678929765886288
SENT_ORTH_DIV_PREMIUM_change,288,-0.001885122257740733,0.35575900523206183,-2.1634023839147734,-0.5110325604453767,-0.012036880733272234,0.5096717481542008,2.142653165959784,0.03678929765886288
SENT_ORTH_SIBLEY_DIV_PREMIUM,289,-0.006135947966452498,0.5300533318202095,-1.2875775198881765,-0.7186074379447183,-0.029124185830894628,0.7444474768261474,4.848104191317905,0.033444816053511704
SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,288,-0.009043550914998748,0.5286621921095322,-1.2875775198881765,-0.7189599712902779,-0.031177085482277545,0.6950871758443062,4.848104191317905,0.03678929765886288
SENT_ORTH_SIBLEY_DIV_PREMIUM_change,288,0.0018400590071475822,0.6762180271646986,-5.394806727611394,-0.8674772131814124,0.01002561113296846,0.8735384642954059,4.415129777869569,0.03678929765886288
SENT_DIV_PREMIUM,289,-0.009000366692144561,0.5185871089467443,-1.3787820796781052,-0.6696341599336539,-0.006115946843506692,0.7406450790338674,4.204705767667373,0.033444816053511704
SENT_DIV_PREMIUM_lag,288,-0.01044525905001065,0.5189067212217711,-1.3787820796781052,-0.669754042328325,-0.00956243402430218,0.7411259594548759,4.204705767667373,0.03678929765886288
SENT_DIV_PREMIUM_change,288,0.0009659884496941262,0.5584784193331993,-4.829103674820645,-0.7553025291975416,0.043600092192639814,0.7440199761439837,3.522198418635321,0.03678929765886288
ORTH_minus_RAW_DIV_PREMIUM,289,-0.004772184903312845,0.5131234461000158,-1.843233602669406,-0.862780553276098,0.006809696803388915,0.8083250779920477,1.4551733006631782,0.033444816053511704
SIBLEY_minus_ORTH_DIV_PREMIUM,289,0.007636603629004896,0.5626431249950476,-1.4524581416545694,-0.8065520620595406,-0.0643733156257705,0.9703810543515227,2.486632026319938,0.033444816053511704
