variable,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7
ESI,0.023889570703910967,-0.1689519045466201,0.482234646673936,0.045377186865860175,-0.47788731195425965,-0.25611022828932295,0.06659540824177373
ESI_L1,0.005734163349742411,-0.15945413169040124,0.4295101353366329,-0.28463678571605494,0.47107664852192294,0.4205639033049216,0.06467166729886013
CCI,0.0452705789219429,-0.18403823129556146,0.45541010976406604,0.16839919071919748,-0.4806683135458498,0.34501788581675713,-0.02948490005297036
CCI_L1,0.03570334735019513,-0.20213415873746998,0.47330053257494004,-0.15913576290343098,0.4419073949548744,-0.44501411889178566,0.041327356328917694
TURN,-0.10360574365510242,0.5227971493132214,0.22768448982951683,0.23871397161398425,0.09204979284615276,0.03462247246087365,0.1340578827399583
TURN_L1,-0.08987305656874056,0.5061917154768943,0.23322616934002183,0.28093986953900807,0.10395612216988825,0.12664295553927196,0.21888533670757748
NIPO,0.15379179569618842,-0.29155236534885964,-0.0573605218015771,0.6044182851900691,0.15861014258662598,0.04189763595968144,0.35988563910457344
NIPO_L1,0.16205502333012878,-0.31650642887108227,-0.04145024533534343,0.5402089533850278,0.25056866559771557,-0.007969495096801437,-0.35436012770102476
RIPO,-0.024297510457734556,0.0011522895374051019,-0.014052515540112784,0.012493991385658711,0.08528956054434311,0.5552264838793318,-0.05141414287180612
RIPO_L1,-0.020005770998587455,0.008514865815706433,-0.06501691895456203,0.05833800725545438,0.02730422129403607,-0.22939304348555803,0.6000148410362506
ED_RATIO,0.5090928125853955,-0.03187479127523002,-0.08752981264403571,-0.1713974033785514,-0.06988585249182012,0.12311312832074245,0.28460543828997914
ED_RATIO_L1,0.5102580652830319,-0.03483620644570182,-0.08158845383589743,-0.17761918596761395,-0.03831600062835046,0.12926981439308005,0.2799826945848217
DIV_PREMIUM,0.4533282187353331,0.2746363657859142,0.09269307639536459,0.061838026872495414,0.0359647162431985,-0.09528084607496,-0.27762153179452564
DIV_PREMIUM_L1,0.4486773130291626,0.2807967307569928,0.11393497465595538,0.04327326821942382,0.02233882230207523,-0.13985343903675349,-0.26212350945912727
