sort_variable,prone_leg_coefficient,prone_leg_hac_t_stat,insensitive_leg_coefficient,insensitive_leg_hac_t_stat,classification
ME,-15.282166471458083,-3.0744825203895068,0.6171574605087866,0.4320673608112995,Prone leg supports asymmetry
age,-8.85276856585458,-2.5313637309366026,-0.2029292753943735,-0.0710098981317663,Prone leg supports asymmetry
risk,-15.563727103023796,-3.495610027057811,7.781965760839988,3.2134428863137683,Clean joint support
IVOL_FF3,-13.426653391710165,-2.2445013204954427,9.067155845186582,2.907479840578261,Clean joint support
E_plus_BE,2.956018606896892,1.049052839522408,2.974750299323395,1.4187506428613772,Fails predicted prone-leg pattern
UNPROFITABLE,11.324383189978526,1.077162731530882,3.877897691414837,3.3283486107157554,Fails predicted prone-leg pattern
NON_D_PAYER,-1.836528574861086,-1.2195999279527503,3.642037190260536,2.6023740529487585,Spread partly driven by insensitive leg
PPE_A,-3.152956253950974,-1.0134675616317594,12.59530958367017,5.82066329736305,Spread partly driven by insensitive leg
GS,-4.972458126430376,-1.5658359524542775,-1.8328592950456288,-0.6404936922854075,Expected sign with weak leg evidence
ILLIQ,-1.249538732773486,-0.3158793888758046,1.9915213543667056,1.9401041778373251,Expected sign with weak leg evidence
XTURN,-4.422505591125304,-1.2103444812848028,-9.639089529851436,-3.5044701376028824,Expected sign with weak leg evidence
